# dirty words, add() ms, build() ms, search() avg ms, filter() avg ms
159400,6,918279,182764,200.2
159600,6,875570,185617,209.4
159800,0,935249,197740,234.4
160000,6,934144,190864,210.8
160200,0,913035,195452,218.4
160400,7,923717,184916,212
160600,6,872187,199758,207.2
160800,6,870242,182190,209.2
161000,6,895228,180788,203
161200,7,888650,190068,204
161400,5,880620,181871,196
161600,9,900675,184832,198.6
161800,6,888151,180306,197.6
162000,7,855942,181406,201.8
162200,8,853027,183962,199
162400,7,887803,186354,201.4
162600,11,900470,184094,207
162800,7,856776,180759,194
163000,6,859925,194544,203.6
163200,6,898620,182382,199.2
163400,7,893489,182084,205.2
163600,7,891570,188120,197.8
163800,7,884216,191834,198.6
164000,6,876211,181408,206
164200,7,886305,186888,206.2
164400,6,914396,189678,198.4
164600,6,898691,192158,204
164800,7,901943,191437,201.6
165000,0,895171,190456,199.2
165200,8,868776,190600,210.6
165400,6,908395,185450,201
165600,5,911607,191636,216.8
165800,7,908881,188882,201.6
166000,8,902988,202670,201.4
166200,6,887089,184839,198.8
166400,7,916522,195950,213
166600,0,901956,195717,204
166800,7,891079,184402,203.6
167000,7,905787,188368,205.2
167200,7,895873,200715,206.6
167400,6,908629,187786,196.4
167600,8,924853,185992,199
167800,5,895783,186866,207.4
168000,7,903040,185858,196
168200,6,898061,189328,209.6
168400,7,902254,187085,204.4
168600,6,903765,187954,199.6
168800,7,896132,199266,204.6
169000,7,933445,187970,197.2
169200,6,900758,189560,203.6
169400,6,917101,201483,204.8
169600,6,928667,189624,194.8
169800,6,916148,191695,200
170000,7,910535,205992,205
170200,6,933932,188524,204
170400,6,906632,190534,221.2
170600,6,904289,189361,190.4
170800,7,911497,189616,198.4
171000,6,908895,188916,199.2
171200,7,911916,193228,202.2
171400,6,916642,203105,209.8
171600,5,944524,195450,203
171800,6,943438,203044,216.2
172000,7,943326,191484,199.8
172200,7,928719,190054,195.2
172400,6,923973,205591,204.4
172600,7,935782,200400,205.2
172800,6,943239,193912,197.2
173000,7,948266,198968,199.6
173200,7,928591,204410,214.4
173400,0,944369,193826,201.8
173600,14,928029,196880,208.6
173800,6,953158,199444,197.2
174000,6,953808,194390,205.4
174200,16,951886,206627,209.2
174400,7,944990,193846,204.6
174600,6,954555,200516,200.6
174800,6,954225,196629,206
175000,6,946726,197748,202.6
175200,6,957672,197634,205.6
175400,16,939546,204918,199.4
175600,6,933604,206668,209.2
175800,6,962946,194858,198.4
176000,7,945382,196392,200.8
176200,7,935252,196952,200.6
176400,5,936774,197872,202.2
176600,6,933801,199026,199.4
176800,7,939622,196426,202.6
177000,0,949524,197246,201.2
177200,6,972302,214754,207.6
177400,7,969307,203803,232.4
177600,0,958682,198584,205.8
177800,5,940374,200380,203.8
178000,7,973830,199792,205.4
178200,7,974004,208296,205
178400,7,956771,199568,198.2
178600,6,952432,210156,223.2
178800,7,980020,204662,217.6
179000,7,993063,201667,203
179200,7,972888,217646,208.8
179400,7,976151,204024,194.8
179600,6,967343,206720,214.6
179800,8,968837,201156,203.6
180000,7,967648,202314,199.8
180200,6,1000068,204936,206
180400,7,984656,198197,201
180600,7,993117,203981,210.4
180800,5,968132,203528,206.4
181000,6,982078,197312,195.8
181200,8,953994,215672,217.2
181400,6,998994,207358,200.4
181600,5,954823,200391,208.8
181800,6,994223,205354,196.8
182000,6,975388,203632,208
182200,6,988318,203179,199.6
182400,6,961057,216043,210
182600,5,1004487,202375,199.4
182800,0,988124,219083,204.8
183000,7,984998,209970,203.4
183200,5,993602,204812,205.6
183400,7,971407,207790,207
183600,7,982383,205434,201.6
